0	1	a	Kelly and her friends decided to go to Indian for lunch. They were the first ones inside the restaurant. It was a buffet so they got what they wanted. The girls loved the food. They returned many times.
1	1	a	Gina popped her new CD Single into her boombox. The first song was the one she liked. The second was a mystery to her. She listened to the second one first. Gina decided she liked it as much as the first one.
2	0	a	When I first met Janice, she didn't know how to crack a walnut. I couldn't believe she had gotten this far in life without this skill. I offered to teach her many methods to crack nuts. She accepted. Janice decided she didn't want to learn how to crack walnuts.
3	0	a	Kelly really wanted a tattoo. She begged her parents but they said no. As a result, she went and got one anyway. When she got home, her parents found out. Kelly's parents raised her allowance.
4	1	a	Stacy bought a bag of chips. She took them to the park to eat a snack. Her friend Kevin was also at the park. Stacey shared her chips with Kevin. Kevin thanked Stacy and they enjoyed their time at the park.
5	0	a	Gina and her friend Lisa were listening to music in the garage. Gina hoped her other friends would come over and join them. She called them, but no one answered. The girls decided to dance to cure their boredom. Gina and her friends turned the music off since it was boring.
6	0	a	Josiah was a baby who was trying to crawl for the first time. To help him, his mother put out an exciting toy that jingled. As she made the toy rattle, Josiah became very interested. He started groping the ground and inching towards his mom. Josiah rolled over and played with his feet.
7	1	a	Greg had seeds for tomatoes. He planted them in his garden. He watered them every morning. He was sad that nothing happened. Greg realized the garden was not getting sufficient sunlight.
8	0	a	My class went to a butterfly village for their field trip. They had the opportunity to go throughout the place. Several butterflies were attached on to us. Everyone also had the opportunity to seek knowledge. The butterfly village was very uninformative.
9	1	a	Pamela was so excited to finally have a boyfriend, Ralph. Ralph never listened to what she said. He rarely showed up on time. He flirted too much with other girls. Pamela decided to break up with Ralph.
10	1	a	Maureen has just moved into a new apartment and still has no mirror. She drives to the store to look for a good mirror she can use. Finally Maureen finds a beautiful, full length mirror. Her friend helps her get the heavy mirror into her apartment. She places the mirror in her bathroom.
11	0	a	Around 11am, the school's fire alarm went off. Rushing towards the door, the students stopped when gunshots rang out. Then the teacher instructed them to hide under their desks. Diving under their desks, the students were petrified. They then played heads down thumbs up.
12	0	a	The girls went to a bar. They opened a tab. They had a few drinks. They finally decided to close their tab. They got into the plane.
13	0	a	Jeff wanted to beat his mile run record of 6 minutes. So he practiced running every day. He ate more fruits and vegetables. And he felt much better. Instead of running, Jeff went to the movies.
14	1	a	John was excited to have a job interview. He went to the interview very prepared and nicely dressed. During the interview he was very talkative and likable. The manager of the company was really impressed by John's comments. The manager decided to offer John the job.
15	0	a	Lou needed some money for a video game. He put fliers in his neighbor's mailboxes offering to mow their lawns. He had six jobs lined up in just a few hours. He did so well he kept his business going. Lou went to school to learn about IT support.
16	0	a	Carla wanted to eat a hot dog after class. But the food truck that was usually on her campus wasn't there. She found out that it moved to another location on the campus. It was such a long walk from her class. Carla wasn't hungry.
17	0	a	Drew order a small ice cream cone at the Drive Thru. He drove to the front window to wait for his order. The cashier handed the ice cream with one of her hands. Drew took the ice cream cone and turned it upside down. Drew kept his car clean this way.
18	0	a	I've noticed a lot lately that people are scamming good requesters. Just today I watched them scam a requester I had grown to love. After thinking about what to do I decided to send an email. The requester was very responsive and decided to talk to me. I do not enjoy helping people.
19	0	a	Natalie went out of her way to make people unhappy. She wanted other people to be as unhappy as her. She primarily worked with petty insults. She made people self-conscious, and they left her alone. Natalie made friends very easily.
20	0	a	Deirdra wanted to be a great blues musician. She listened to a lot of work by greats like BB King and Taj Mahal. She bought a guitar and tuned it for blues music. She booked a bar venue and started getting her work out there. At her first gig, she realized she never learned how to play.
